config_id,distortion_label,original_config_id,phase,family,severity,seed,natoms,rattle_sigma_A,n_rotated_fa,minimum_distance_A,directory
O-FAPI3_parity_40__fa_rotation_cage_rattle__sev-1.0,fa_rotation_cage_rattle,O-FAPI3_parity_40,O-FAPI3,fa_rotation_cage_rattle,1.0,2602832822,48,0.11,4,1.0189468527998746,O-FAPI3/O-FAPI3_parity_40__fa_rotation_cage_rattle__sev-1.0
O-FAPI3_parity_41__combined_strain_rattle_fa_rotation__sev-0.1,combined_strain_rattle_fa_rotation,O-FAPI3_parity_41,O-FAPI3,combined,0.1,1316860979,48,0.044000000000000004,2,0.9398730770329373,O-FAPI3/O-FAPI3_parity_41__combined_strain_rattle_fa_rotation__sev-0.1
O-FAPI3_parity_42__combined_strain_rattle_fa_rotation__sev-0.2,combined_strain_rattle_fa_rotation,O-FAPI3_parity_42,O-FAPI3,combined,0.2,3663235565,48,0.053000000000000005,2,0.8225597286499351,O-FAPI3/O-FAPI3_parity_42__combined_strain_rattle_fa_rotation__sev-0.2
O-FAPI3_parity_43__combined_strain_rattle_fa_rotation__sev-0.3,combined_strain_rattle_fa_rotation,O-FAPI3_parity_43,O-FAPI3,combined,0.3,1016784231,48,0.062,2,0.8015519767496266,O-FAPI3/O-FAPI3_parity_43__combined_strain_rattle_fa_rotation__sev-0.3
O-FAPI3_parity_44__combined_strain_rattle_fa_rotation__sev-0.4,combined_strain_rattle_fa_rotation,O-FAPI3_parity_44,O-FAPI3,combined,0.4,4222874943,48,0.07100000000000001,3,0.8187876515175674,O-FAPI3/O-FAPI3_parity_44__combined_strain_rattle_fa_rotation__sev-0.4
O-FAPI3_parity_45__combined_strain_rattle_fa_rotation__sev-0.5,combined_strain_rattle_fa_rotation,O-FAPI3_parity_45,O-FAPI3,combined,0.5,3389247742,48,0.08,1,0.9059886550917101,O-FAPI3/O-FAPI3_parity_45__combined_strain_rattle_fa_rotation__sev-0.5
O-FAPI3_parity_46__combined_strain_rattle_fa_rotation__sev-0.6,combined_strain_rattle_fa_rotation,O-FAPI3_parity_46,O-FAPI3,combined,0.6,313057053,48,0.089,4,0.8941433892685583,O-FAPI3/O-FAPI3_parity_46__combined_strain_rattle_fa_rotation__sev-0.6
O-FAPI3_parity_47__combined_strain_rattle_fa_rotation__sev-0.7,combined_strain_rattle_fa_rotation,O-FAPI3_parity_47,O-FAPI3,combined,0.7,502609238,48,0.098,3,0.7622134197646347,O-FAPI3/O-FAPI3_parity_47__combined_strain_rattle_fa_rotation__sev-0.7
O-FAPI3_parity_48__combined_strain_rattle_fa_rotation__sev-0.8,combined_strain_rattle_fa_rotation,O-FAPI3_parity_48,O-FAPI3,combined,0.8,2894601973,48,0.107,3,0.6933388264111288,O-FAPI3/O-FAPI3_parity_48__combined_strain_rattle_fa_rotation__sev-0.8
O-FAPI3_parity_49__combined_strain_rattle_fa_rotation__sev-0.9,combined_strain_rattle_fa_rotation,O-FAPI3_parity_49,O-FAPI3,combined,0.9,801589023,48,0.116,1,0.7600569398584516,O-FAPI3/O-FAPI3_parity_49__combined_strain_rattle_fa_rotation__sev-0.9
O-FAPI3_parity_50__combined_strain_rattle_fa_rotation__sev-1.0,combined_strain_rattle_fa_rotation,O-FAPI3_parity_50,O-FAPI3,combined,1.0,998710103,48,0.125,2,0.8083723339023443,O-FAPI3/O-FAPI3_parity_50__combined_strain_rattle_fa_rotation__sev-1.0
t-FAPI3_parity_01__strong_strain__sev-0.1,strong_strain,t-FAPI3_parity_01,t-FAPI3,strong_strain,0.1,4255478825,24,0.0415,0,1.0147084593670022,t-FAPI3/t-FAPI3_parity_01__strong_strain__sev-0.1
t-FAPI3_parity_02__strong_strain__sev-0.2,strong_strain,t-FAPI3_parity_02,t-FAPI3,strong_strain,0.2,4238884694,24,0.048,0,1.0146936194320708,t-FAPI3/t-FAPI3_parity_02__strong_strain__sev-0.2
